[57,95] [67,46]|(1 [74,-40,62] [-68,-82,-10]);(2 [77,77,38] [90,40,-71]);(3 [17,-29,-90] [-87,-24,-2]);(4 [-98,-61,-81] [57,-49,60])
[37,24] [5,8]|(1 [72,-34,63] [70,-97,59]);(2 [14,-2,35] [13,70,44]);(3 [-14,-17,75] [-50,61,-62]);(4 [60,52,-6] [36,-34,-11]);(5 [74,72,70] [51,-10,-42])
[15,28] [0,50]|(1 [26,87,21] [-35,98,-1]);(2 [88,-40,70] [-16,11,57]);(3 [6,-31,32] [50,0,-66]);(4 [8,-26,-60] [-64,-35,30]);(5 [-46,-46,57] [31,38,-53]);(6 [69,32,54] [-16,-42,-9]);(7 [-89,83,21] [17,70,43])
[21,92] [62,75]|(1 [-32,9,44] [57,99,12]);(2 [20,-89,86] [66,-86,-90]);(3 [-98,83,-51] [-70,-43,-32]);(4 [-32,48,43] [7,-61,4]);(5 [-60,-54,-28] [64,-21,13])
[0,0] [100,100]|(1 [2,3,5] [42,61,10]);(3 [5,6,6] [12,3,7]);(2 [3,2,1] [12,6,7])
[94,57] [58,61]|(1 [-18,77,5] [-70,18,12]);(2 [-53,11,-43] [-100,-20,-95]);(3 [-50,-81,-80] [92,67,77]);(4 [86,100,50] [-94,46,-12]);(5 [-14,-51,-36] [-28,-92,-14]);(6 [-70,-21,17] [-53,-59,-20]);(7 [59,0,-16] [33,-89,-85]);(8 [1,39,94] [64,-57,-71]);(9 [-63,-93,46] [-6,-88,76])
[59,64] [10,25]|(1 [-13,-88,12] [69,41,-70]);(2 [62,-62,-15] [-14,-15,87]);(3 [-41,58,28] [14,39,-58])
[99,7] [71,56]|(1 [24,100,-29] [-92,87,95]);(2 [22,50,-42] [70,30,76]);(3 [40,67,-91] [-24,-100,20]);(4 [-89,-54,87] [-96,-88,98]);(5 [16,81,88] [97,86,37]);(6 [-72,-86,-87] [-33,-88,80]);(7 [48,-37,-20] [20,-18,32]);(8 [83,61,100] [67,71,-25]);(9 [29,39,-77] [89,25,42]);(10 [-48,4,61] [-27,62,-98]);(11 [20,95,-17] [35,-34,75]);(12 [-75,-45,-51] [-94,-34,-71])
[49,34] [71,95]|(1 [56,18,-96] [-22,-97,7]);(2 [66,5,86] [41,-58,-93]);(3 [-75,-74,-33] [-70,87,96]);(4 [-85,50,-64] [-45,-44,-7]);(5 [-95,71,-86] [-43,-36,-47]);(6 [-64,94,-4] [-79,52,65]);(7 [38,81,-80] [27,-97,-21]);(8 [-73,26,0] [73,89,-32]);(9 [46,9,-25] [80,25,35]);(10 [-87,-42,61] [-45,-37,7]);(11 [8,96,49] [-61,76,-63]);(12 [-81,-94,-19] [12,44,86])
[91,15] [14,63]|(1 [-44,-41,-44] [-4,80,86]);(2 [83,78,20] [-43,-82,-8]);(3 [-51,-47,-95] [-16,59,97]);(4 [-20,-23,77] [11,74,-16]);(5 [-41,-41,99] [71,22,8]);(6 [12,28,-86] [-99,45,-27]);(7 [-96,-45,-90] [-14,-89,59]);(8 [-42,-18,19] [68,57,-41]);(9 [-43,40,98] [-31,-76,71]);(10 [-88,86,36] [19,-11,71]);(11 [-85,88,29] [-37,83,-82]);(12 [-23,49,26] [56,-71,59])
[11,28] [90,72]|(1 [95,-37,1] [-74,-43,63]);(2 [74,66,75] [24,29,-22]);(3 [65,61,-56] [56,-9,-80]);(4 [9,-63,-67] [-61,-15,100]);(5 [19,81,86] [16,-24,16]);(6 [-2,-32,-69] [64,2,-17]);(7 [-22,79,-65] [70,-83,49]);(8 [55,-36,94] [17,-85,-90]);(9 [84,67,-16] [1,-54,72]);(10 [62,-87,-11] [-45,97,-74]);(11 [64,-95,22] [1,88,-8]);(12 [-63,1,10] [-25,-30,26]);(13 [-37,94,-42] [-9,-100,-5]);(14 [-24,85,-62] [40,14,-92])
[65,85] [31,22]|(1 [77,90,71] [-7,-62,-67]);(2 [7,40,-4] [55,96,-97]);(3 [-10,59,-30] [-59,-89,-32]);(4 [80,-79,78] [-85,64,-28]);(5 [-97,89,39] [-49,-19,-67]);(6 [76,-65,-62] [46,45,-94]);(7 [-38,64,-15] [-66,-31,-4]);(8 [-31,49,-100] [-18,-77,73]);(9 [-50,40,1] [45,-76,-44]);(10 [55,-63,100] [75,40,-92]);(11 [-49,-23,65] [-46,-62,-90]);(12 [31,-23,-19] [95,74,11]);(13 [-89,21,-37] [32,-76,18]);(14 [23,32,-70] [-15,67,-8])
[0,0] [1,0]|(1 [2,3,5] [42,61,10]);(2 [5,6,6] [12,3,7]);(3 [51,51,51] [101,101,101])
[0,0] [1,1]|(1 [1,2,3] [2,3,4]);(2 [0,0,0] [100,100,100])
[1,29] [42,100]|(1 [-30,-74,-23] [-6,95,10]);(2 [-22,51,34] [4,-61,41]);(3 [-95,-36,-86] [62,-16,27]);(4 [-46,9,-9] [53,50,17]);(5 [97,-9,-92] [54,-92,-38]);(6 [-27,-8,-48] [-22,8,88]);(7 [-43,-53,77] [-92,30,-94]);(8 [-99,-39,13] [-52,48,-43]);(9 [90,-48,-60] [-77,-12,78])
[98,99] [78,57]|(1 [-36,71,-67] [62,47,-39]);(2 [87,-56,-78] [-66,-6,54]);(3 [50,-44,72] [-58,73,76]);(4 [22,30,92] [-82,-66,76]);(5 [86,-12,-13] [89,27,-29]);(6 [-2,-79,-45] [-25,32,80]);(7 [71,73,49] [-2,-51,2])
[49,36] [86,2]|(1 [37,47,-29] [21,94,69]);(2 [26,41,-9] [71,19,-29]);(3 [-80,76,-27] [-54,-55,13]);(4 [17,61,-89] [-36,-19,-69]);(5 [-46,2,-34] [54,8,-73]);(6 [-38,75,78] [87,-16,-61]);(7 [-59,-25,-40] [-18,55,95]);(8 [44,-29,45] [82,-98,-64]);(9 [23,51,-93] [7,-37,-29]);(10 [-82,83,52] [-86,60,-84]);(11 [-68,-28,3] [58,81,100])
[43,27] [92,52]|(1 [-38,-93,-78] [4,74,59]);(2 [-100,51,-2] [-100,6,-93]);(3 [-93,30,59] [-69,-39,-56]);(4 [55,-82,21] [-62,-72,15]);(5 [20,95,-68] [-91,88,-17]);(6 [25,91,-20] [-30,-68,-84]);(7 [72,-79,16] [8,6,37]);(8 [-76,86,54] [89,77,-59]);(9 [22,89,36] [-31,-98,-16]);(10 [57,12,-6] [3,95,57]);(11 [62,77,82] [-64,96,-33]);(12 [11,-37,78] [82,76,29]);(13 [-10,84,2] [-59,-88,-61]);(14 [-26,-26,5] [-89,99,75])
[91,56] [10,85]|(1 [-89,-1,-46] [-55,-87,-45]);(2 [-88,23,76] [17,52,-78]);(3 [19,43,71] [70,100,-80]);(4 [88,89,-82] [-40,6,31]);(5 [46,2,-9] [-3,21,-42]);(6 [29,-79,81] [47,9,-61]);(7 [-65,-70,-74] [-38,8,-98]);(8 [33,17,-62] [-19,66,31]);(9 [38,69,60] [-66,-39,78]);(10 [-38,-64,67] [80,54,58]);(11 [-89,-83,31] [100,81,95]);(12 [17,-63,87] [79,-95,49]);(13 [7,-28,61] [-33,95,49])
[65,30] [52,28]|(1 [41,-23,99] [78,30,-9]);(2 [-7,-66,-95] [13,35,1]);(3 [-84,-36,4] [-60,15,27]);(4 [83,-77,-97] [-85,-96,55]);(5 [-83,-52,-94] [-42,-43,37]);(6 [55,-83,-26] [95,73,99]);(7 [-68,-36,-33] [93,-82,11]);(8 [26,-21,88] [34,-14,24]);(9 [100,-23,53] [71,60,3]);(10 [48,43,15] [42,-60,81]);(11 [-41,-89,48] [73,58,-39]);(12 [-91,20,-57] [-51,42,-75]);(13 [39,44,36] [-71,-98,55]);(14 [-55,23,26] [79,-16,-87])
